leg_idx,registration,orig_registration,assigned_registration,tail_swap,is_ground_activity,ident,aircraft_type,body_type,origin,destination,orig_scheduled_out,orig_scheduled_in,shift_min,new_scheduled_out,new_scheduled_in
26,A6-EBU,A6-EBU,A6-EBU,False,False,UAE793,B77W,WB,DXB,NBJ,2026-07-12T05:45:00+00:00,2026-07-12T13:30:00+00:00,0,2026-07-12T05:45:00+00:00,2026-07-12T13:30:00+00:00
27,A6-EBU,A6-EBU,A6-EBU,False,False,UAE794,B77W,WB,NBJ,DXB,2026-07-12T17:25:00+00:00,2026-07-13T01:15:00+00:00,0,2026-07-12T17:25:00+00:00,2026-07-13T01:15:00+00:00
28,A6-EBY,A6-EBY,A6-EBY,False,False,UAE330,B77W,WB,DXB,MNL,2026-07-06T08:20:00+00:00,2026-07-06T17:25:00+00:00,0,2026-07-06T08:20:00+00:00,2026-07-06T17:25:00+00:00
29,A6-EBY,A6-EBY,A6-EBY,False,False,UAE331,B77W,WB,MNL,DXB,2026-07-06T19:25:00+00:00,2026-07-07T04:05:00+00:00,0,2026-07-06T19:25:00+00:00,2026-07-07T04:05:00+00:00
30,A6-EBY,A6-EBY,A6-EBY,False,False,UAE584,B77W,WB,DXB,DAC,2026-07-07T12:45:00+00:00,2026-07-07T17:20:00+00:00,0,2026-07-07T12:45:00+00:00,2026-07-07T17:20:00+00:00
31,A6-EBY,A6-EBY,A6-EBY,False,False,UAE585,B77W,WB,DAC,DXB,2026-07-07T19:40:00+00:00,2026-07-08T00:30:00+00:00,0,2026-07-07T19:40:00+00:00,2026-07-08T00:30:00+00:00
32,A6-EBY,A6-EBY,A6-EBY,False,False,UAE783,B77W,WB,DXB,LOS,2026-07-08T06:15:00+00:00,2026-07-08T14:35:00+00:00,-60,2026-07-08T05:15:00+00:00,2026-07-08T13:35:00+00:00
33,A6-EBY,A6-EBY,A6-EBY,False,False,UAE784,B77W,WB,LOS,DXB,2026-07-08T16:40:00+00:00,2026-07-09T00:45:00+00:00,-60,2026-07-08T15:40:00+00:00,2026-07-08T23:45:00+00:00
34,A6-EBY,A6-EBY,A6-EBY,False,False,UAE308,B77W,WB,DXB,PEK,2026-07-09T06:40:00+00:00,2026-07-09T14:20:00+00:00,0,2026-07-09T06:40:00+00:00,2026-07-09T14:20:00+00:00
35,A6-EBY,A6-EBY,A6-EBY,False,False,UAE309,B77W,WB,PEK,DXB,2026-07-09T23:25:00+00:00,2026-07-10T07:35:00+00:00,0,2026-07-09T23:25:00+00:00,2026-07-10T07:35:00+00:00
36,A6-EBY,A6-EBY,A6-EBY,False,False,UAE57,B77W,WB,DXB,DUS,2026-07-10T10:25:00+00:00,2026-07-10T17:15:00+00:00,0,2026-07-10T10:25:00+00:00,2026-07-10T17:15:00+00:00
37,A6-EBY,A6-EBY,A6-EBY,False,False,UAE58,B77W,WB,DUS,DXB,2026-07-10T19:15:00+00:00,2026-07-11T02:00:00+00:00,0,2026-07-10T19:15:00+00:00,2026-07-11T02:00:00+00:00
38,A6-EBY,A6-EBY,A6-EBY,False,False,UAE111,B77W,WB,DXB,BUD,2026-07-11T05:50:00+00:00,2026-07-11T11:55:00+00:00,0,2026-07-11T05:50:00+00:00,2026-07-11T11:55:00+00:00
39,A6-EBY,A6-EBY,A6-EBY,False,False,UAE112,B77W,WB,BUD,DXB,2026-07-11T14:05:00+00:00,2026-07-11T19:40:00+00:00,0,2026-07-11T14:05:00+00:00,2026-07-11T19:40:00+00:00
40,A6-EBY,A6-EBY,A6-EBY,False,False,UAE332,B77W,WB,DXB,MNL,2026-07-11T23:10:00+00:00,2026-07-12T08:15:00+00:00,15,2026-07-11T23:25:00+00:00,2026-07-12T08:30:00+00:00
41,A6-EBY,A6-EBY,A6-EBY,False,False,UAE333,B77W,WB,MNL,DXB,2026-07-12T10:15:00+00:00,2026-07-12T19:00:00+00:00,15,2026-07-12T10:30:00+00:00,2026-07-12T19:15:00+00:00
42,A6-ECF,A6-ECF,A6-ECF,False,False,UAE111,B77W,WB,DXB,BUD,2026-07-06T05:50:00+00:00,2026-07-06T11:55:00+00:00,0,2026-07-06T05:50:00+00:00,2026-07-06T11:55:00+00:00
43,A6-ECF,A6-ECF,A6-ECF,False,False,UAE112,B77W,WB,BUD,DXB,2026-07-06T14:05:00+00:00,2026-07-06T19:40:00+00:00,0,2026-07-06T14:05:00+00:00,2026-07-06T19:40:00+00:00
44,A6-ECF,A6-ECF,A6-ECF,False,False,UAE530,B77W,WB,DXB,COK,2026-07-06T23:20:00+00:00,2026-07-07T03:25:00+00:00,-10,2026-07-06T23:10:00+00:00,2026-07-07T03:15:00+00:00
45,A6-ECF,A6-ECF,A6-ECF,False,False,UAE531,B77W,WB,COK,DXB,2026-07-07T05:05:00+00:00,2026-07-07T08:55:00+00:00,-10,2026-07-07T04:55:00+00:00,2026-07-07T08:45:00+00:00
46,A6-ECF,A6-ECF,A6-ECF,False,False,UAE131,B77W,WB,DXB,DME,2026-07-07T10:45:00+00:00,2026-07-07T17:45:00+00:00,-10,2026-07-07T10:35:00+00:00,2026-07-07T17:35:00+00:00
47,A6-ECF,A6-ECF,A6-ECF,False,False,UAE132,B77W,WB,DME,DXB,2026-07-07T20:10:00+00:00,2026-07-08T03:05:00+00:00,-10,2026-07-07T20:00:00+00:00,2026-07-08T02:55:00+00:00
48,A6-ECF,A6-ECF,A6-ECF,False,False,UAE131,B77W,WB,DXB,DME,2026-07-08T10:45:00+00:00,2026-07-08T17:45:00+00:00,0,2026-07-08T10:45:00+00:00,2026-07-08T17:45:00+00:00
