label,tf,day_idx,dow,time_utc,contact_capacity,contact_demand,contact_served
final,158,0,Mon,13:10,66,3,3
final,159,0,Mon,13:15,66,3,3
final,160,0,Mon,13:20,66,3,3
final,161,0,Mon,13:25,66,3,3
final,162,0,Mon,13:30,66,4,4
final,163,0,Mon,13:35,66,5,5
final,164,0,Mon,13:40,66,5,5
final,165,0,Mon,13:45,66,5,5
final,166,0,Mon,13:50,66,5,5
final,167,0,Mon,13:55,66,5,5
final,168,0,Mon,14:00,66,4,4
final,169,0,Mon,14:05,66,4,4
final,170,0,Mon,14:10,66,4,4
final,171,0,Mon,14:15,66,4,4
final,172,0,Mon,14:20,66,4,4
final,173,0,Mon,14:25,66,5,5
final,174,0,Mon,14:30,66,6,6
final,175,0,Mon,14:35,66,6,6
final,176,0,Mon,14:40,66,6,6
final,177,0,Mon,14:45,66,6,6
final,178,0,Mon,14:50,66,6,6
final,179,0,Mon,14:55,66,6,6
final,180,0,Mon,15:00,66,5,5
final,181,0,Mon,15:05,66,5,5
final,182,0,Mon,15:10,66,5,5
final,183,0,Mon,15:15,66,6,6
final,184,0,Mon,15:20,66,6,6
final,185,0,Mon,15:25,66,7,7
final,186,0,Mon,15:30,66,7,7
final,187,0,Mon,15:35,66,8,8
final,188,0,Mon,15:40,66,9,9
final,189,0,Mon,15:45,66,10,10
final,190,0,Mon,15:50,66,10,10
final,191,0,Mon,15:55,66,10,10
final,192,0,Mon,16:00,66,13,13
final,193,0,Mon,16:05,66,13,13
final,194,0,Mon,16:10,66,15,15
final,195,0,Mon,16:15,66,16,16
final,196,0,Mon,16:20,66,17,17
final,197,0,Mon,16:25,66,18,18
final,198,0,Mon,16:30,66,19,19
final,199,0,Mon,16:35,66,19,19
final,200,0,Mon,16:40,66,19,19
final,201,0,Mon,16:45,66,19,19
final,202,0,Mon,16:50,66,19,19
final,203,0,Mon,16:55,66,19,19
final,204,0,Mon,17:00,66,18,18
final,205,0,Mon,17:05,66,16,16
final,206,0,Mon,17:10,66,16,16
final,207,0,Mon,17:15,66,17,17
final,208,0,Mon,17:20,66,17,17
final,209,0,Mon,17:25,66,16,16
final,210,0,Mon,17:30,66,15,15
final,211,0,Mon,17:35,66,15,15
