origin,destination,pax,avg_revenue,inbound_ident,outbound_ident,inbound_arr,outbound_dep,cnx_time_min,indicator,revenue_captured
DAC,JFK,5077.0,532.0,UAE585,UAE201,2026-07-12T01:30:00+00:00,2026-07-12T04:00:00+00:00,150.0,0.825,2228295.3
AMS,BKK,4574.0,200.0,UAE150,UAE370,2026-07-10T03:00:00+00:00,2026-07-10T05:00:00+00:00,120.0,1.0,914800.0
JFK,DAC,4278.0,200.0,UAE204,UAE586,2026-07-07T04:30:00+00:00,2026-07-07T06:30:00+00:00,120.0,1.0,855600.0
DUS,CMB,4256.0,200.0,UAE56,UAE650,2026-07-07T20:30:00+00:00,2026-07-07T22:30:00+00:00,120.0,1.0,851200.0
DME,MLE,4044.0,200.0,UAE134,UAE656,2026-07-12T20:45:00+00:00,2026-07-12T22:40:00+00:00,115.0,0.9167,741400.0
MAN,ISB,3551.0,200.0,UAE18,UAE612,2026-07-06T20:25:00+00:00,2026-07-06T22:25:00+00:00,120.0,1.0,710200.0
DFW,HYD,3542.0,200.0,UAE222,UAE528,2026-07-07T09:00:00+00:00,2026-07-07T11:00:00+00:00,120.0,1.0,708400.0
HYD,DFW,3487.0,200.0,UAE529,UAE221,2026-07-06T20:10:00+00:00,2026-07-06T22:10:00+00:00,120.0,1.0,697400.0
AMS,DPS,3483.0,200.0,UAE148,UAE368,2026-07-12T20:10:00+00:00,2026-07-12T22:10:00+00:00,120.0,1.0,696600.0
MLE,DME,3461.0,200.0,UAE657,UAE131,2026-07-06T08:15:00+00:00,2026-07-06T10:15:00+00:00,120.0,1.0,692200.0
HYD,IAD,2866.0,200.0,UAE529,UAE231,2026-07-12T20:15:00+00:00,2026-07-12T22:15:00+00:00,120.0,1.0,573200.0
BHX,ISB,2850.0,200.0,UAE40,UAE612,2026-07-09T21:20:00+00:00,2026-07-09T23:20:00+00:00,120.0,1.0,570000.0
LHR,KUL,2747.0,200.0,UAE8,UAE344,2026-07-10T15:15:00+00:00,2026-07-10T17:15:00+00:00,120.0,1.0,549400.0
ISB,MAN,2720.0,200.0,UAE615,UAE17,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,544000.0
DPS,AMS,2659.0,200.0,UAE399,UAE147,2026-07-08T01:30:00+00:00,2026-07-08T03:35:00+00:00,125.0,0.9708,516289.17
DUS,DPS,2553.0,200.0,UAE56,UAE368,2026-07-12T20:10:00+00:00,2026-07-12T22:10:00+00:00,120.0,1.0,510600.0
CDG,DPS,2517.0,200.0,UAE74,UAE368,2026-07-09T21:05:00+00:00,2026-07-09T23:05:00+00:00,120.0,1.0,503400.0
ATH,MEL,2479.0,200.0,UAE210,UAE408,2026-07-12T19:40:00+00:00,2026-07-12T21:40:00+00:00,120.0,1.0,495800.0
LHR,CMB,2459.0,200.0,UAE2,UAE650,2026-07-07T20:30:00+00:00,2026-07-07T22:30:00+00:00,120.0,1.0,491800.0
MAN,HKG,2389.0,200.0,UAE18,UAE382,2026-07-12T20:20:00+00:00,2026-07-12T22:20:00+00:00,120.0,1.0,477800.0
KUL,LHR,2671.0,200.0,UAE345,UAE5,2026-07-08T09:10:00+00:00,2026-07-08T11:30:00+00:00,140.0,0.8833,471876.67
PRG,HAN,2300.0,200.0,UAE140,UAE394,2026-07-11T20:30:00+00:00,2026-07-11T22:30:00+00:00,120.0,1.0,460000.0
KHI,YYZ,530.0,867.0,UAE603,UAE241,2026-07-08T21:05:00+00:00,2026-07-08T23:05:00+00:00,120.0,1.0,459510.0
MAD,BKK,2315.0,200.0,UAE142,UAE384,2026-07-12T20:40:00+00:00,2026-07-12T22:45:00+00:00,125.0,0.9708,449495.83
JFK,HYD,2226.0,200.0,UAE202,UAE524,2026-07-09T16:05:00+00:00,2026-07-09T18:05:00+00:00,120.0,1.0,445200.0
MAA,SFO,2216.0,200.0,UAE543,UAE225,2026-07-10T02:40:00+00:00,2026-07-10T04:40:00+00:00,120.0,1.0,443200.0
LHR,BNE,2214.0,200.0,UAE6,UAE434,2026-07-07T04:35:00+00:00,2026-07-07T06:35:00+00:00,120.0,1.0,442800.0
DUS,BKK,2475.0,200.0,UAE56,UAE384,2026-07-07T20:30:00+00:00,2026-07-07T22:50:00+00:00,140.0,0.8833,437250.0
LHR,SIN,2179.0,200.0,UAE2,UAE348,2026-07-10T20:20:00+00:00,2026-07-10T22:20:00+00:00,120.0,1.0,435800.0
ATH,SYD,2175.0,200.0,UAE210,UAE414,2026-07-10T19:35:00+00:00,2026-07-10T21:35:00+00:00,120.0,1.0,435000.0
MAN,KUL,2369.0,200.0,UAE18,UAE346,2026-07-09T20:50:00+00:00,2026-07-09T22:45:00+00:00,115.0,0.9167,434316.67
BLR,SFO,2366.0,200.0,UAE569,UAE225,2026-07-12T03:15:00+00:00,2026-07-12T05:10:00+00:00,115.0,0.9167,433766.67
SYD,ATH,2135.0,200.0,UAE415,UAE103,2026-07-10T09:50:00+00:00,2026-07-10T11:50:00+00:00,120.0,1.0,427000.0
FCO,MEL,2131.0,200.0,UAE98,UAE408,2026-07-09T20:45:00+00:00,2026-07-09T22:45:00+00:00,120.0,1.0,426200.0
MEL,LHR,2123.0,200.0,UAE407,UAE1,2026-07-11T01:15:00+00:00,2026-07-11T03:15:00+00:00,120.0,1.0,424600.0
HAN,PRG,2107.0,200.0,UAE395,UAE139,2026-07-07T01:35:00+00:00,2026-07-07T03:35:00+00:00,120.0,1.0,421400.0
SYD,LHR,2095.0,200.0,UAE413,UAE1,2026-07-11T01:15:00+00:00,2026-07-11T03:15:00+00:00,120.0,1.0,419000.0
LHR,MEL,2149.0,200.0,UAE2,UAE408,2026-07-06T20:35:00+00:00,2026-07-06T22:40:00+00:00,125.0,0.9708,417264.17
BHX,HKG,2060.0,200.0,UAE40,UAE382,2026-07-10T21:10:00+00:00,2026-07-10T23:10:00+00:00,120.0,1.0,412000.0
CDG,BKK,2037.0,200.0,UAE72,UAE374,2026-07-08T16:20:00+00:00,2026-07-08T18:20:00+00:00,120.0,1.0,407400.0
COK,DUB,2000.0,200.0,UAE531,UAE163,2026-07-08T08:55:00+00:00,2026-07-08T10:55:00+00:00,120.0,1.0,400000.0
ISB,BHX,1996.0,200.0,UAE615,UAE39,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,399200.0
HYD,JFK,2055.0,200.0,UAE529,UAE203,2026-07-08T20:15:00+00:00,2026-07-08T22:20:00+00:00,125.0,0.9708,399012.5
ADL,LHR,459.0,867.07,UAE441,UAE1,2026-07-07T01:40:00+00:00,2026-07-07T03:40:00+00:00,120.0,1.0,397986.08
MAN,BKK,1988.0,200.0,UAE20,UAE372,2026-07-11T03:40:00+00:00,2026-07-11T05:40:00+00:00,120.0,1.0,397600.0
AMS,CGK,1959.0,200.0,UAE148,UAE356,2026-07-09T21:05:00+00:00,2026-07-09T23:05:00+00:00,120.0,1.0,391800.0
LHR,HKG,1940.0,200.0,UAE6,UAE380,2026-07-08T04:25:00+00:00,2026-07-08T06:25:00+00:00,120.0,1.0,388000.0
CDG,MAA,1933.0,200.0,UAE74,UAE544,2026-07-06T20:30:00+00:00,2026-07-06T22:30:00+00:00,120.0,1.0,386600.0
LGW,CMB,1933.0,200.0,UAE16,UAE650,2026-07-12T20:45:00+00:00,2026-07-12T22:45:00+00:00,120.0,1.0,386600.0
LHR,BKK,1922.0,200.0,UAE4,UAE370,2026-07-12T03:00:00+00:00,2026-07-12T05:00:00+00:00,120.0,1.0,384400.0
KUL,MAN,1903.0,200.0,UAE345,UAE19,2026-07-07T08:50:00+00:00,2026-07-07T10:50:00+00:00,120.0,1.0,380600.0
LHR,SYD,1883.0,200.0,UAE8,UAE416,2026-07-09T15:40:00+00:00,2026-07-09T17:40:00+00:00,120.0,1.0,376600.0
FRA,DPS,1850.0,200.0,UAE48,UAE398,2026-07-12T03:10:00+00:00,2026-07-12T05:10:00+00:00,120.0,1.0,370000.0
LGW,COK,1840.0,200.0,UAE16,UAE530,2026-07-09T21:20:00+00:00,2026-07-09T23:20:00+00:00,120.0,1.0,368000.0
SIN,LHR,1831.0,200.0,UAE315,UAE5,2026-07-07T09:45:00+00:00,2026-07-07T11:45:00+00:00,120.0,1.0,366200.0
HAM,BKK,1828.0,200.0,UAE60,UAE384,2026-07-09T20:45:00+00:00,2026-07-09T22:45:00+00:00,120.0,1.0,365600.0
MAA,JFK,1938.0,200.0,UAE547,UAE203,2026-07-07T20:40:00+00:00,2026-07-07T22:50:00+00:00,130.0,0.9417,364990.0
MXP,CMB,1822.0,200.0,UAE206,UAE650,2026-07-06T19:40:00+00:00,2026-07-06T21:40:00+00:00,120.0,1.0,364400.0
SFO,BLR,1798.0,200.0,UAE226,UAE568,2026-07-07T15:20:00+00:00,2026-07-07T17:20:00+00:00,120.0,1.0,359600.0
ZRH,CMB,1797.0,200.0,UAE88,UAE650,2026-07-12T20:45:00+00:00,2026-07-12T22:45:00+00:00,120.0,1.0,359400.0
AMS,CMB,1783.0,200.0,UAE148,UAE650,2026-07-11T20:30:00+00:00,2026-07-11T22:30:00+00:00,120.0,1.0,356600.0
SIN,LGW,1750.0,200.0,UAE315,UAE9,2026-07-06T09:00:00+00:00,2026-07-06T11:00:00+00:00,120.0,1.0,350000.0
FCO,SYD,1743.0,200.0,UAE98,UAE414,2026-07-08T19:55:00+00:00,2026-07-08T21:55:00+00:00,120.0,1.0,348600.0
JFK,MAA,1726.0,200.0,UAE202,UAE542,2026-07-12T15:55:00+00:00,2026-07-12T17:55:00+00:00,120.0,1.0,345200.0
SFO,HYD,1721.0,200.0,UAE226,UAE524,2026-07-06T15:50:00+00:00,2026-07-06T17:50:00+00:00,120.0,1.0,344200.0
SFO,BOM,1704.0,200.0,UAE226,UAE500,2026-07-09T16:20:00+00:00,2026-07-09T18:20:00+00:00,120.0,1.0,340800.0
LGW,SIN,1663.0,200.0,UAE10,UAE352,2026-07-11T03:55:00+00:00,2026-07-11T05:55:00+00:00,120.0,1.0,332600.0
VIE,MLE,1663.0,200.0,UAE128,UAE656,2026-07-09T20:30:00+00:00,2026-07-09T22:30:00+00:00,120.0,1.0,332600.0
FRA,MLE,1658.0,200.0,UAE46,UAE656,2026-07-09T20:30:00+00:00,2026-07-09T22:30:00+00:00,120.0,1.0,331600.0
AKL,GLA,246.0,1347.86,UAE449,UAE27,2026-07-12T01:20:00+00:00,2026-07-12T03:20:00+00:00,120.0,1.0,331573.89
BLR,DFW,1655.0,200.0,UAE567,UAE221,2026-07-08T20:10:00+00:00,2026-07-08T22:10:00+00:00,120.0,1.0,331000.0
SYD,DUB,1654.0,200.0,UAE413,UAE161,2026-07-10T01:15:00+00:00,2026-07-10T03:15:00+00:00,120.0,1.0,330800.0
DUB,SYD,1650.0,200.0,UAE164,UAE412,2026-07-12T04:10:00+00:00,2026-07-12T06:10:00+00:00,120.0,1.0,330000.0
JFK,BOM,1793.0,200.0,UAE202,UAE500,2026-07-11T16:10:00+00:00,2026-07-11T18:05:00+00:00,115.0,0.9167,328716.67
MLE,FRA,1636.0,200.0,UAE653,UAE43,2026-07-09T21:55:00+00:00,2026-07-09T23:55:00+00:00,120.0,1.0,327200.0
LHR,DAC,1597.0,200.0,UAE2,UAE582,2026-07-10T20:20:00+00:00,2026-07-10T22:20:00+00:00,120.0,1.0,319400.0
FRA,CMB,1592.0,200.0,UAE46,UAE650,2026-07-09T20:30:00+00:00,2026-07-09T22:30:00+00:00,120.0,1.0,318400.0
LHR,KHI,1583.0,200.0,UAE32,UAE600,2026-07-08T01:45:00+00:00,2026-07-08T03:45:00+00:00,120.0,1.0,316600.0
CDG,MRU,1574.0,200.0,UAE74,UAE701,2026-07-12T20:20:00+00:00,2026-07-12T22:20:00+00:00,120.0,1.0,314800.0
BKK,AMS,1570.0,200.0,UAE375,UAE149,2026-07-06T09:00:00+00:00,2026-07-06T11:00:00+00:00,120.0,1.0,314000.0
DPS,CDG,1667.0,200.0,UAE399,UAE73,2026-07-12T02:00:00+00:00,2026-07-12T04:10:00+00:00,130.0,0.9417,313951.67
CMB,CDG,1566.0,200.0,UAE651,UAE75,2026-07-11T09:05:00+00:00,2026-07-11T11:05:00+00:00,120.0,1.0,313200.0
HYD,IAH,1564.0,200.0,UAE525,UAE211,2026-07-12T02:45:00+00:00,2026-07-12T04:45:00+00:00,120.0,1.0,312800.0
AMS,KUL,1561.0,200.0,UAE148,UAE346,2026-07-10T20:10:00+00:00,2026-07-10T22:10:00+00:00,120.0,1.0,312200.0
CDG,KUL,1557.0,200.0,UAE76,UAE342,2026-07-10T03:25:00+00:00,2026-07-10T05:25:00+00:00,120.0,1.0,311400.0
CMB,DUS,1749.0,200.0,UAE651,UAE57,2026-07-07T08:05:00+00:00,2026-07-07T10:25:00+00:00,140.0,0.8833,308990.0
MRU,CDG,1539.0,200.0,UAE704,UAE73,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,307800.0
KUL,LGW,1538.0,200.0,UAE345,UAE9,2026-07-06T09:00:00+00:00,2026-07-06T11:00:00+00:00,120.0,1.0,307600.0
LGW,MRU,1518.0,200.0,UAE16,UAE701,2026-07-06T20:45:00+00:00,2026-07-06T22:45:00+00:00,120.0,1.0,303600.0
LHR,MNL,1513.0,200.0,UAE4,UAE334,2026-07-09T02:50:00+00:00,2026-07-09T04:50:00+00:00,120.0,1.0,302600.0
ORD,HYD,1589.0,200.0,UAE236,UAE524,2026-07-10T15:35:00+00:00,2026-07-10T17:45:00+00:00,130.0,0.9417,299261.67
HYD,SFO,1749.0,200.0,UAE525,UAE225,2026-07-12T02:45:00+00:00,2026-07-12T05:10:00+00:00,145.0,0.8542,298787.5
BKK,LHR,1487.0,200.0,UAE375,UAE5,2026-07-12T09:45:00+00:00,2026-07-12T11:45:00+00:00,120.0,1.0,297400.0
BNE,LHR,1578.0,200.0,UAE435,UAE1,2026-07-10T01:20:00+00:00,2026-07-10T03:30:00+00:00,130.0,0.9417,297190.0
AKL,AMS,266.0,1116.83,UAE449,UAE147,2026-07-08T01:35:00+00:00,2026-07-08T03:35:00+00:00,120.0,1.0,297077.49
DAC,LIS,1476.0,200.0,UAE585,UAE191,2026-07-09T01:25:00+00:00,2026-07-09T03:25:00+00:00,120.0,1.0,295200.0
LGW,MAA,1594.0,200.0,UAE12,UAE542,2026-07-12T16:00:00+00:00,2026-07-12T17:55:00+00:00,115.0,0.9167,292233.33
ACC,CAN,539.0,541.52,UAE788,UAE362,2026-07-08T03:15:00+00:00,2026-07-08T05:15:00+00:00,120.0,1.0,291877.5
KUL,CAI,1456.0,200.0,UAE345,UAE923,2026-07-10T09:15:00+00:00,2026-07-10T11:15:00+00:00,120.0,1.0,291200.0
BKK,DUS,1450.0,200.0,UAE371,UAE55,2026-07-07T02:50:00+00:00,2026-07-07T04:50:00+00:00,120.0,1.0,290000.0
LGW,MEL,1526.0,200.0,UAE10,UAE406,2026-07-08T03:55:00+00:00,2026-07-08T06:05:00+00:00,130.0,0.9417,287396.67
IAH,BOM,1436.0,200.0,UAE212,UAE500,2026-07-08T16:00:00+00:00,2026-07-08T18:00:00+00:00,120.0,1.0,287200.0
SFO,MAA,1554.0,200.0,UAE226,UAE542,2026-07-07T15:20:00+00:00,2026-07-07T17:15:00+00:00,115.0,0.9167,284900.0
LGW,SYD,1422.0,200.0,UAE12,UAE416,2026-07-12T16:00:00+00:00,2026-07-12T18:00:00+00:00,120.0,1.0,284400.0
CMB,ZRH,1421.0,200.0,UAE651,UAE85,2026-07-11T09:05:00+00:00,2026-07-11T11:05:00+00:00,120.0,1.0,284200.0
YUL,BEY,1410.0,200.0,UAE244,UAE957,2026-07-08T03:05:00+00:00,2026-07-08T05:05:00+00:00,120.0,1.0,282000.0
KUL,CDG,1447.0,200.0,UAE345,UAE75,2026-07-09T09:10:00+00:00,2026-07-09T11:15:00+00:00,125.0,0.9708,280959.17
LHR,MAA,1380.0,200.0,UAE2,UAE544,2026-07-07T20:30:00+00:00,2026-07-07T22:30:00+00:00,120.0,1.0,276000.0
BOM,SFO,1375.0,200.0,UAE501,UAE225,2026-07-10T02:40:00+00:00,2026-07-10T04:40:00+00:00,120.0,1.0,275000.0
MRU,LGW,1372.0,200.0,UAE704,UAE15,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,274400.0
BOM,JFK,1367.0,200.0,UAE501,UAE201,2026-07-11T02:00:00+00:00,2026-07-11T04:00:00+00:00,120.0,1.0,273400.0
BKK,MAD,1463.0,200.0,UAE377,UAE141,2026-07-12T01:55:00+00:00,2026-07-12T03:50:00+00:00,115.0,0.9167,268216.67
LHE,LHR,1338.0,200.0,UAE623,UAE1,2026-07-08T01:45:00+00:00,2026-07-08T03:45:00+00:00,120.0,1.0,267600.0
CPH,TPE,1332.0,200.0,UAE152,UAE366,2026-07-12T20:45:00+00:00,2026-07-12T22:45:00+00:00,120.0,1.0,266400.0
DUB,MEL,1331.0,200.0,UAE162,UAE408,2026-07-06T20:40:00+00:00,2026-07-06T22:40:00+00:00,120.0,1.0,266200.0
CDG,SYD,1329.0,200.0,UAE72,UAE416,2026-07-11T16:20:00+00:00,2026-07-11T18:20:00+00:00,120.0,1.0,265800.0
DPS,FRA,1409.0,200.0,UAE399,UAE45,2026-07-07T02:10:00+00:00,2026-07-07T04:20:00+00:00,130.0,0.9417,265361.67
HKG,MAN,1320.0,200.0,UAE381,UAE17,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,264000.0
JFK,BLR,1319.0,200.0,UAE202,UAE568,2026-07-10T15:15:00+00:00,2026-07-10T17:15:00+00:00,120.0,1.0,263800.0
LGW,BKK,1314.0,200.0,UAE16,UAE384,2026-07-12T20:45:00+00:00,2026-07-12T22:45:00+00:00,120.0,1.0,262800.0
BRU,BKK,1392.0,200.0,UAE184,UAE384,2026-07-09T20:35:00+00:00,2026-07-09T22:45:00+00:00,130.0,0.9417,262160.0
BKK,HAM,1309.0,200.0,UAE371,UAE59,2026-07-08T02:50:00+00:00,2026-07-08T04:50:00+00:00,120.0,1.0,261800.0
MAA,CDG,1479.0,200.0,UAE545,UAE75,2026-07-12T08:20:00+00:00,2026-07-12T10:40:00+00:00,140.0,0.8833,261290.0
CGK,IST,1922.0,200.0,UAE359,UAE123,2026-07-12T02:30:00+00:00,2026-07-12T05:25:00+00:00,175.0,0.6792,261071.67
BCN,BKK,1299.0,200.0,UAE186,UAE384,2026-07-12T20:45:00+00:00,2026-07-12T22:45:00+00:00,120.0,1.0,259800.0
MLE,VIE,1299.0,200.0,UAE659,UAE125,2026-07-10T09:50:00+00:00,2026-07-10T11:50:00+00:00,120.0,1.0,259800.0
MUC,MLE,1298.0,200.0,UAE50,UAE656,2026-07-08T20:10:00+00:00,2026-07-08T22:10:00+00:00,120.0,1.0,259600.0
DPS,LGW,1289.0,200.0,UAE399,UAE15,2026-07-12T02:00:00+00:00,2026-07-12T04:00:00+00:00,120.0,1.0,257800.0
CDG,MEL,1288.0,200.0,UAE76,UAE406,2026-07-07T03:20:00+00:00,2026-07-07T05:20:00+00:00,120.0,1.0,257600.0
LGW,KUL,1403.0,200.0,UAE12,UAE344,2026-07-07T15:20:00+00:00,2026-07-07T17:15:00+00:00,115.0,0.9167,257216.67
CAI,KUL,1408.0,200.0,UAE926,UAE342,2026-07-12T04:10:00+00:00,2026-07-12T06:25:00+00:00,135.0,0.9125,256960.0
BKK,CDG,1277.0,200.0,UAE375,UAE75,2026-07-08T09:25:00+00:00,2026-07-08T11:25:00+00:00,120.0,1.0,255400.0
MRU,DME,1265.0,200.0,UAE704,UAE133,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,253000.0
VCE,ICN,1264.0,200.0,UAE136,UAE322,2026-07-09T20:45:00+00:00,2026-07-09T22:45:00+00:00,120.0,1.0,252800.0
BLR,JFK,1342.0,200.0,UAE567,UAE203,2026-07-08T20:10:00+00:00,2026-07-08T22:20:00+00:00,130.0,0.9417,252743.33
LHR,AKL,1258.0,200.0,UAE6,UAE448,2026-07-12T04:15:00+00:00,2026-07-12T06:15:00+00:00,120.0,1.0,251600.0
NRT,GRU,1467.0,200.0,UAE319,UAE261,2026-07-07T01:05:00+00:00,2026-07-07T03:30:00+00:00,145.0,0.8542,250612.5
DME,SGN,1250.0,200.0,UAE132,UAE392,2026-07-11T03:45:00+00:00,2026-07-11T05:45:00+00:00,120.0,1.0,250000.0
SEA,DEL,1243.0,200.0,UAE230,UAE512,2026-07-09T15:25:00+00:00,2026-07-09T17:25:00+00:00,120.0,1.0,248600.0
BOM,IAH,1389.0,200.0,UAE501,UAE211,2026-07-12T02:25:00+00:00,2026-07-12T04:45:00+00:00,140.0,0.8833,245390.0
PEK,LHR,1224.0,200.0,UAE307,UAE1,2026-07-08T01:45:00+00:00,2026-07-08T03:45:00+00:00,120.0,1.0,244800.0
MAN,COK,1298.0,200.0,UAE22,UAE532,2026-07-11T16:10:00+00:00,2026-07-11T18:20:00+00:00,130.0,0.9417,244456.67
MAA,IAD,1382.0,200.0,UAE547,UAE231,2026-07-07T20:40:00+00:00,2026-07-07T23:00:00+00:00,140.0,0.8833,244153.33
LHR,LHE,1214.0,200.0,UAE8,UAE622,2026-07-09T15:40:00+00:00,2026-07-09T17:40:00+00:00,120.0,1.0,242800.0
FCO,SIN,1209.0,200.0,UAE98,UAE348,2026-07-12T19:35:00+00:00,2026-07-12T21:35:00+00:00,120.0,1.0,241800.0
AKL,FCO,214.0,1233.92,UAE449,UAE97,2026-07-10T02:35:00+00:00,2026-07-10T04:50:00+00:00,135.0,0.9125,240954.63
MNL,LHR,1204.0,200.0,UAE337,UAE3,2026-07-08T08:15:00+00:00,2026-07-08T10:15:00+00:00,120.0,1.0,240800.0
CDG,CMB,1200.0,200.0,UAE74,UAE650,2026-07-08T20:30:00+00:00,2026-07-08T22:30:00+00:00,120.0,1.0,240000.0
LHR,MLE,1189.0,200.0,UAE2,UAE656,2026-07-07T20:30:00+00:00,2026-07-07T22:30:00+00:00,120.0,1.0,237800.0
BKK,LGW,1186.0,200.0,UAE375,UAE9,2026-07-06T09:00:00+00:00,2026-07-06T11:00:00+00:00,120.0,1.0,237200.0
LHR,MRU,1177.0,200.0,UAE6,UAE703,2026-07-07T04:35:00+00:00,2026-07-07T06:35:00+00:00,120.0,1.0,235400.0
MEL,FCO,1374.0,200.0,UAE409,UAE95,2026-07-09T09:05:00+00:00,2026-07-09T11:30:00+00:00,145.0,0.8542,234725.0
AKL,LHR,1246.0,200.0,UAE449,UAE1,2026-07-08T01:35:00+00:00,2026-07-08T03:45:00+00:00,130.0,0.9417,234663.33
BUD,ICN,1172.0,200.0,UAE112,UAE322,2026-07-12T20:40:00+00:00,2026-07-12T22:40:00+00:00,120.0,1.0,234400.0
BKK,MAN,1171.0,200.0,UAE373,UAE21,2026-07-08T20:50:00+00:00,2026-07-08T22:50:00+00:00,120.0,1.0,234200.0
DPS,DUS,1171.0,200.0,UAE399,UAE55,2026-07-08T01:30:00+00:00,2026-07-08T03:30:00+00:00,120.0,1.0,234200.0
MEL,LGW,1171.0,200.0,UAE409,UAE9,2026-07-12T09:00:00+00:00,2026-07-12T11:00:00+00:00,120.0,1.0,234200.0
SEA,HYD,1242.0,200.0,UAE230,UAE524,2026-07-06T15:40:00+00:00,2026-07-06T17:50:00+00:00,130.0,0.9417,233910.0
MAN,LHE,1152.0,200.0,UAE22,UAE622,2026-07-06T15:40:00+00:00,2026-07-06T17:40:00+00:00,120.0,1.0,230400.0
AKL,BHX,224.0,1091.62,UAE449,UAE39,2026-07-08T01:35:00+00:00,2026-07-08T03:45:00+00:00,130.0,0.9417,230259.85
DUB,PER,1151.0,200.0,UAE162,UAE420,2026-07-08T20:50:00+00:00,2026-07-08T22:50:00+00:00,120.0,1.0,230200.0
MEL,DUB,1148.0,200.0,UAE407,UAE161,2026-07-10T01:15:00+00:00,2026-07-10T03:15:00+00:00,120.0,1.0,229600.0
TPE,LHR,1148.0,200.0,UAE387,UAE1,2026-07-12T01:45:00+00:00,2026-07-12T03:45:00+00:00,120.0,1.0,229600.0
LHE,JFK,1145.0,200.0,UAE623,UAE201,2026-07-12T02:00:00+00:00,2026-07-12T04:00:00+00:00,120.0,1.0,229000.0
MEL,ATH,1840.0,200.0,UAE409,UAE103,2026-07-10T08:45:00+00:00,2026-07-10T11:50:00+00:00,185.0,0.6208,228466.67
KHI,IST,1121.0,200.0,UAE601,UAE121,2026-07-07T08:55:00+00:00,2026-07-07T10:55:00+00:00,120.0,1.0,224200.0
DEL,SFO,1119.0,200.0,UAE513,UAE225,2026-07-09T02:25:00+00:00,2026-07-09T04:25:00+00:00,120.0,1.0,223800.0
MAN,CMB,1117.0,200.0,UAE18,UAE650,2026-07-08T20:30:00+00:00,2026-07-08T22:30:00+00:00,120.0,1.0,223400.0
SFO,DEL,1171.0,200.0,UAE226,UAE512,2026-07-07T15:20:00+00:00,2026-07-07T17:30:00+00:00,130.0,0.9417,220538.33
DFW,BLR,1102.0,200.0,UAE222,UAE566,2026-07-08T08:35:00+00:00,2026-07-08T10:35:00+00:00,120.0,1.0,220400.0
LHR,BOM,1101.0,200.0,UAE4,UAE506,2026-07-07T02:50:00+00:00,2026-07-07T04:50:00+00:00,120.0,1.0,220200.0
ADL,LGW,227.0,969.36,UAE441,UAE15,2026-07-10T01:35:00+00:00,2026-07-10T03:35:00+00:00,120.0,1.0,220044.59
DEL,SEA,1100.0,200.0,UAE513,UAE229,2026-07-11T02:55:00+00:00,2026-07-11T04:55:00+00:00,120.0,1.0,220000.0
KHI,LHR,1133.0,200.0,UAE601,UAE5,2026-07-08T09:25:00+00:00,2026-07-08T11:30:00+00:00,125.0,0.9708,219990.83
DUS,KUL,1099.0,200.0,UAE56,UAE346,2026-07-10T20:10:00+00:00,2026-07-10T22:10:00+00:00,120.0,1.0,219800.0
SYD,FCO,1167.0,200.0,UAE415,UAE95,2026-07-12T09:30:00+00:00,2026-07-12T11:40:00+00:00,130.0,0.9417,219785.0
CDG,SIN,1268.0,200.0,UAE76,UAE352,2026-07-09T03:35:00+00:00,2026-07-09T06:00:00+00:00,145.0,0.8542,216616.67
AKL,ZRH,153.0,1452.35,UAE449,UAE87,2026-07-11T02:35:00+00:00,2026-07-11T04:40:00+00:00,125.0,0.9708,215728.44
LGW,DPS,1111.0,200.0,UAE16,UAE368,2026-07-08T20:45:00+00:00,2026-07-08T22:50:00+00:00,125.0,0.9708,215719.17
DPS,LHR,1076.0,200.0,UAE369,UAE7,2026-07-12T20:30:00+00:00,2026-07-12T22:30:00+00:00,120.0,1.0,215200.0
MAN,SIN,1076.0,200.0,UAE20,UAE352,2026-07-08T04:00:00+00:00,2026-07-08T06:00:00+00:00,120.0,1.0,215200.0
MNL,FCO,1074.0,200.0,UAE331,UAE97,2026-07-09T03:50:00+00:00,2026-07-09T05:50:00+00:00,120.0,1.0,214800.0
BEY,YUL,1106.0,200.0,UAE954,UAE243,2026-07-12T20:35:00+00:00,2026-07-12T22:40:00+00:00,125.0,0.9708,214748.33
MNL,AMS,1138.0,200.0,UAE337,UAE149,2026-07-12T08:25:00+00:00,2026-07-12T10:35:00+00:00,130.0,0.9417,214323.33
MLE,MUC,1063.0,200.0,UAE659,UAE51,2026-07-06T10:20:00+00:00,2026-07-06T12:20:00+00:00,120.0,1.0,212600.0
TPE,CPH,1063.0,200.0,UAE387,UAE151,2026-07-10T02:05:00+00:00,2026-07-10T04:05:00+00:00,120.0,1.0,212600.0
CDG,TPE,1062.0,200.0,UAE76,UAE386,2026-07-09T03:35:00+00:00,2026-07-09T05:35:00+00:00,120.0,1.0,212400.0
