origin,destination,pax,avg_revenue,inbound_ident,outbound_ident,inbound_arr,outbound_dep,cnx_time_min,indicator,revenue_captured
FRA,SYD,721.0,200.0,UAE44,UAE416,2026-07-10T15:50:00+00:00,2026-07-10T17:50:00+00:00,120.0,1.0,144200.0
MAA,LGW,786.0,200.0,UAE547,UAE11,2026-07-12T20:40:00+00:00,2026-07-12T22:35:00+00:00,115.0,0.9167,144100.0
SEZ,FRA,720.0,200.0,UAE706,UAE47,2026-07-06T09:00:00+00:00,2026-07-06T11:00:00+00:00,120.0,1.0,144000.0
BNE,MAN,719.0,200.0,UAE435,UAE17,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,143800.0
YYZ,BOM,718.0,200.0,UAE242,UAE502,2026-07-07T07:05:00+00:00,2026-07-07T09:05:00+00:00,120.0,1.0,143600.0
SYD,MAN,739.0,200.0,UAE413,UAE17,2026-07-12T01:15:00+00:00,2026-07-12T03:20:00+00:00,125.0,0.9708,143489.17
JNB,LHR,715.0,200.0,UAE766,UAE29,2026-07-09T03:40:00+00:00,2026-07-09T05:40:00+00:00,120.0,1.0,143000.0
CDG,MNL,714.0,200.0,UAE76,UAE334,2026-07-12T03:15:00+00:00,2026-07-12T05:15:00+00:00,120.0,1.0,142800.0
ICN,FCO,835.0,200.0,UAE323,UAE97,2026-07-07T01:25:00+00:00,2026-07-07T03:50:00+00:00,145.0,0.8542,142645.83
BOM,IAD,716.0,200.0,UAE509,UAE231,2026-07-08T19:59:00+00:00,2026-07-08T22:00:00+00:00,121.0,0.9942,142364.67
VIE,HKG,732.0,200.0,UAE128,UAE382,2026-07-12T20:15:00+00:00,2026-07-12T22:20:00+00:00,125.0,0.9708,142130.0
ADL,MAN,189.0,751.62,UAE441,UAE17,2026-07-10T01:35:00+00:00,2026-07-10T03:35:00+00:00,120.0,1.0,142056.1
KUL,FRA,710.0,200.0,UAE345,UAE47,2026-07-06T09:00:00+00:00,2026-07-06T11:00:00+00:00,120.0,1.0,142000.0
MUC,BLR,709.0,200.0,UAE50,UAE564,2026-07-12T20:20:00+00:00,2026-07-12T22:20:00+00:00,120.0,1.0,141800.0
COK,LHR,772.0,200.0,UAE533,UAE29,2026-07-12T03:45:00+00:00,2026-07-12T05:40:00+00:00,115.0,0.9167,141533.33
